1427507.569,,,,,,,
    (KSh million),,,,,,,
Year/Month/,Amount,Tenor,Type of,Amount,Amount,Amount,Amount
Quarter,Offered,(years),Treasury bond,allotted,rejected,redeemed,outstanding
2002,,,,,,,
July,,1, Discounted fixed ,"4,985.25","10,971.00",,
,,4, Discounted fixed ,"2,004.70","2,486.00","3,082.18",
,,1, Special Bond ,,,428.17,
,,2, Special Bond ,,,30.96,
,,2, Floating Rate  ,,,2440.05,
,,3, Floating Rate  ,,,183,110440.77
August,,2, Discounted fixed ,"4,971.95","3,609.00",,
,,5, Discounted fixed ,1955.4,693,,
,,3, Special Bond ,,,361.79,
,,1, Discounted fixed ,,,7194.05,109812.28
September,,3, Discounted fixed ,"4,978.80","3,898.00",,
,,6, Discounted fixed ,1997.35,916,,
,,2, Floating Rate  ,,,568,116220.43
October,,2, Discounted fixed ,3731.15,562,,
,,5, Discounted fixed ,780.65, -   ,,
,,1, Special Bond ,,,325.88,
,,2, Floating Rate  ,,,879.9,119526.45
November,,1, Discounted fixed ,"5,161.95","1,294.00",,
,,3, Discounted fixed ,337.2,487,,
,,1, Special Bond ,360.92,,,
,,2, Special Bond ,686.08,,,
,,3, Special Bond ,730.24,,,
,,5, Special Bond ,309.17,,,127112.01
December,,2, Discounted fixed ,978.45,388,,
,,4, Discounted fixed ,835.75,114,,
,,1, Special Bond ,742.42,,,
,,2, Special Bond ,866.16,,,
,,3, Special Bond ,866.16,,,
,,2, Special Bond ,,,35.92,
,,3, Special Bond ,,,137.95,
,,2, Floating Rate  ,,,743.45,130483.63
2003,,,,,,,
January,,3, Discounted fixed ,3595.85,933,,
,,6, Discounted fixed ,1424.7,189,,
,,3, Special Bond ,,,74.16,
,,1, Discounted fixed ,,,6999.1,
,,2, Special Bond ,,,6.69,
,,1, Special Bond ,,,310.96,128113.27
February,,2, Discounted fixed ,"3,947.40","9,106.00",,
,,5, Discounted fixed ,"2,938.05","5,640.00",,134998.72
