ISSUE OF TREASURY BILLS,,,,,,,
    (KSh million),,,,,,,
Year/Month,Total amount offered (Primary market),Tenure,Amount,Amount,Amount,Amount,
,,(days),allotted\1,rejected,redeemed,outstanding,
2000,,,,,,,
March,101800,182,13649.15,3147.197,6412.1,,
,,91,112307.45,91411.5,109979.15,131224.48,
June,100000,182,8903.5,845.265,5767.28,,
,,91,108476.8,78964.865,111808.34,131029.16,
September,104000,182,13100,919,13649.15, ,
,,91,109669.2,47117,108476.5,131672.71,
December,110000,182,6054,480,8903.5,,
,,,,,,,
2001,,,,,,,
March,110000,182,17240.8,3841.19,13100,,
,,91,112713.65,49613.45,110506.35,139008.45,
June,110500,182,10760.15,921.09,9054,,
,,91,109539.1,39816.69,112713.65,137540.05,
September,108500,182,19036.6,1938.43,17240.8,,
,,91,114042.1,43068.03,109539.1,143838.85,
December,103500,182,3000,1476.32,5760.15,,
,,,,,,,
2002,,,,,,,
January,28000,182,"15,100.00", -   ,"15,133.60",,
,,91,"29,005.30","14,403.00","32,679.05","120,095.20",
February,28000,182,"6,881.90","4,148.52","3,000.00",,
,,91,"26,412.85","10,830.00","29,605.90","120,784.05",
March,28000,182,"4,259.10","2,073.83", -   ,,
,,91,"24,918.50","6,831.23","28,623.15","121,338.50",
April,28500,182,"6,239.10","2,335.00", -   ,,
,,91,"26,492.15","16,978.00","34,866.15","119,203.60",
May,20000,182,"9,907.10","5,270.00","3,000.00",,
,,91,"16,850.20","19,076.00","26,412.85","116,548.05",
June,20000,182,"13,342.50","2,124.27","5,000.00",,
,,91,"18,077.95","5,681.00","24,918.50","118,050.00",
July,28000,182,"18,083.95","1,361.00","16,000.00",,
,,91,"26,868.00","18,806.27","26,492.15","120,509.80",
August,22000,182,"7,107.20","5,136.00","6,881.90",,
,,91,"15,777.80","9,771.00","16,850.20","119,662.70",
September,27500,182,"9,786.25","8,578.00","5,028.30",,
,,91,"18,982.45","5,217.00","23,813.45","119,589.65",
October,22000,182,"3,862.50",771,"5,469.90",,
,,91,"19,423.45","4,546.00","21,132.50","116,273.20",
November,21000,182,"4,290.00",477,"9,907.10",,
,,91,"19,777.25","3,143.00","15,777.80","114,655.55",
December,25000,182,"5,206.10",12,"14,682.95",,
,,91,"20,814.45","4,039.00","18,982.45","107,010.70",
2003,,,,,,,
