"Order time","Pickup address","Ride price","Booking fee","Toll fee","Cancellation fee","Tip","Currency","Payment method","Payment time","Distance","State"
"30.04.2023 22:44","Valley view park estate, Mombasa Road, Mlolongo, Kenya","450.00","21.22","0.00","0.00","0.00","Ksh","Cash","30.04.2023 23:00","6.00","Finished"
"30.04.2023 21:45","Embakasi, Nairobi","840.00","39.82","0.00","0.00","0.00","Ksh","Cash","30.04.2023 22:30","18.00","Finished"
"30.04.2023 21:22","Naivas Supermarket Fedha, Nairobi","260.00","12.60","0.00","0.00","0.00","Ksh","Cash","30.04.2023 21:46","1.00","Finished"
"30.04.2023 20:50","Hamza, Nairobi","470.00","22.52","0.00","0.00","0.00","Ksh","Cash","30.04.2023 21:14","5.00","Finished"
"30.04.2023 20:09","W Place Apartments, Westlands Close, Nairobi","640.00","30.39","0.00","0.00","0.00","Ksh","Cash","30.04.2023 20:40","12.00","Finished"
"30.04.2023 18:53","GP House, Unnamed Road, Nairobi, Kenya","850.00","40.47","0.00","0.00","0.00","Ksh","Cash","30.04.2023 20:07","22.00","Finished"
"30.04.2023 18:22","Ruiru, Kenya","390.00","18.50","0.00","0.00","0.00","Ksh","Cash","30.04.2023 18:52","7.00","Finished"
"30.04.2023 16:20","Nairobi, Kenya","780.00","37.35","0.00","0.00","0.00","Ksh","Cash","30.04.2023 17:05","24.00","Finished"
"30.04.2023 15:55","Phenom Estate, Nairobi","190.00","9.00","0.00","0.00","0.00","Ksh","Cash","30.04.2023 16:13","2.00","Finished"
"30.04.2023 15:06","Langata Road, Nairobi","280.00","13.50","0.00","0.00","0.00","Ksh","Cash","30.04.2023 15:25","1.00","Finished"
"30.04.2023 11:48","Leeks Court, MUA Road, Nairobi, Kenya","790.00","37.64","0.00","0.00","0.00","Ksh","Cash","30.04.2023 12:53","22.00","Finished"
"30.04.2023 11:18","Ngara Civil Servants Housing Estate House 5A, Banjuni Rd, Nairobi","420.00","20.02","0.00","0.00","0.00","Ksh","Cash","30.04.2023 11:50","9.00","Finished"
"30.04.2023 08:53","NHC Nairobi West, Langata Rd, Nairobi, Nairobi","370.00","17.71","0.00","0.00","0.00","Ksh","Cash","30.04.2023 09:15","9.00","Finished"
"29.04.2023 23:36","Masai Lodge Road","540.00","25.93","0.00","0.00","0.00","Ksh","Cash","30.04.2023 00:01","6.00","Finished"
"29.04.2023 18:07","3rd Parklands Avenue, Nairobi","320.00","15.15","0.00","0.00","0.00","Ksh","Cash","29.04.2023 18:30","7.00","Finished"
"29.04.2023 17:52","Kiambu Road, Nairobi","420.00","19.85","0.00","0.00","0.00","Ksh","Cash","29.04.2023 18:08","10.00","Finished"
"29.04.2023 12:45","Eastleigh 1st Avenue, Nairobi","460.00","21.71","0.00","0.00","0.00","Ksh","Cash","29.04.2023 13:17","10.00","Finished"
"29.04.2023 08:39","Eastern Bypass, Nairobi","780.00","37.12","0.00","0.00","0.00","Ksh","Cash","29.04.2023 09:20","19.00","Finished"
"20.04.2023 17:46","Muhuyu Road, Nairobi","430.00","20.62","0.00","0.00","0.00","Ksh","Cash","20.04.2023 18:20","9.00","Finished"
"20.04.2023 16:05","Wilson Flyover 60, Nairobi","1030.00","48.84","0.00","0.00","0.00","Ksh","Cash","20.04.2023 17:19","24.00","Finished"
"20.04.2023 14:31","222 Runda Lane, Nairobi, Kenya","600.00","28.45","0.00","0.00","0.00","Ksh","Cash","20.04.2023 15:05","14.00","Finished"
"20.04.2023 13:59","Nairobi, Kenya","500.00","23.94","0.00","0.00","0.00","Ksh","Cash","20.04.2023 14:29","12.00","Finished"
"20.04.2023 11:06","Nairobi 00200, Kenya","420.00","19.83","0.00","0.00","0.00","Ksh","Cash","20.04.2023 11:42","11.00","Finished"
"20.04.2023 10:28","Kibera, Nairobi City","240.00","11.31","0.00","0.00","0.00","Ksh","Cash","20.04.2023 10:55","4.00","Finished"
"20.04.2023 09:51","Mpesi Lane, Nairobi","430.00","20.35","0.00","0.00","0.00","Ksh","Cash","20.04.2023 10:29","9.00","Finished"
"19.04.2023 17:43","Muhoho Avenue, Nairobi","190.00","9.00","0.00","0.00","0.00","Ksh","Cash","19.04.2023 17:51","1.00","Finished"
"19.04.2023 14:32","Sardonyx Homes, Mirema Road, Nairobi, Kenya","360.00","17.16","0.00","0.00","0.00","Ksh","Cash","19.04.2023 14:56","7.00","Finished"
"18.04.2023 18:24","Katamu Tatty Chemist, Lumumba Drive, Nairobi, Kenya","190.00","9.00","0.00","0.00","0.00","Ksh","Cash","18.04.2023 18:37","0.00","Finished"
"18.04.2023 14:59","Peponi Road, Nairobi","410.00","19.44","0.00","0.00","0.00","Ksh",Bolt Payment,"18.04.2023 15:21","9.00","Finished"
"18.04.2023 14:18","Kanjata Road, Nairobi","210.00","10.16","0.00","0.00","0.00","Ksh","Cash","18.04.2023 14:31","4.00","Finished"
"18.04.2023 11:40","KNH Parking, Kenyatta National Hospital","350.00","16.86","0.00","0.00","0.00","Ksh","Cash","18.04.2023 12:02","8.00","Finished"
"18.04.2023 10:35","Madrasa Diamond Park 1, Likoni Road, Nairobi, Kenya","300.00","14.08","0.00","0.00","0.00","Ksh","Cash","18.04.2023 10:52","6.00","Finished"
"18.04.2023 10:10","2nd Avenue Ngong, Nairobi","380.00","18.23","0.00","0.00","0.00","Ksh","Cash","18.04.2023 10:34","9.00","Finished"
"18.04.2023 09:03","Nairobi, Kenya","690.00","32.90","0.00","0.00","0.00","Ksh","Cash","18.04.2023 09:53","16.00","Finished"
"18.04.2023 06:51","Savannah Road, Nairobi","520.00","24.61","0.00","0.00","0.00","Ksh","Cash","18.04.2023 07:41","9.00","Finished"
"17.04.2023 11:18","Pareto Lane, Nairobi","300.00","14.21","0.00","0.00","0.00","Ksh","Cash","17.04.2023 11:39","5.00","Finished"
"17.04.2023 09:51","Nairobi, Kenya","440.00","20.78","0.00","0.00","0.00","Ksh","Cash","17.04.2023 10:27","9.00","Finished"
"17.04.2023 08:32","Ngotho Road, Nairobi","430.00","20.69","0.00","0.00","0.00","Ksh","Cash","17.04.2023 09:09","8.00","Finished"
"14.04.2023 23:07","Standard Street Lornho House, Nairobi","240.00","11.44","0.00","0.00","0.00","Ksh","Cash","14.04.2023 23:23","5.00","Finished"
"14.04.2023 22:23","Langata Road, Nairobi","190.00","9.00","0.00","0.00","0.00","Ksh","Cash","14.04.2023 22:35","2.00","Finished"
"14.04.2023 21:45","Nairobi, Kenya","500.00","23.85","0.00","0.00","0.00","Ksh","Cash","14.04.2023 22:17","11.00","Finished"
"14.04.2023 18:46","Gitanga Road, Nairobi","1380.00","65.69","0.00","0.00","0.00","Ksh","Cash","14.04.2023 19:53","35.00","Finished"
"14.04.2023 13:48","Karuna road Sarit Centre, Nairobi","490.00","21.06","50.00","0.00","0.00","Ksh","Cash","14.04.2023 14:11","9.00","Finished"
"14.04.2023 12:22","Maina Road","310.00","14.64","0.00","0.00","0.00","Ksh","Cash","14.04.2023 12:42","7.00","Finished"
"14.04.2023 10:14","Southfield Mall, Airport North Road, Nairobi","210.00","10.09","0.00","0.00","0.00","Ksh","Cash","14.04.2023 10:26","4.00","Finished"
"14.04.2023 10:01","Embakasi, Nairobi","190.00","9.00","0.00","0.00","0.00","Ksh","Cash","14.04.2023 10:14","2.00","Finished"
"14.04.2023 08:56","Kifaru Crescent, Nairobi","350.00","16.68","0.00","0.00","0.00","Ksh","Cash","14.04.2023 09:22","8.00","Finished"
"14.04.2023 08:05","Prabhaki Industrial Park, Baba Dogo Road, Nairobi, Kenya","620.00","29.46","0.00","0.00","0.00","Ksh","Cash","14.04.2023 08:43","18.00","Finished"
"14.04.2023 07:45","Kolobot Road, Nairobi","380.00","18.15","0.00","0.00","0.00","Ksh","Cash","14.04.2023 08:04","10.00","Finished"
"14.04.2023 07:31","Mpaka Road, Nairobi","190.00","9.00","0.00","0.00","0.00","Ksh","Cash","14.04.2023 07:44","3.00","Finished"
"14.04.2023 06:42","wabu plaza, Donholm Savannah Road, Nairobi, Kenya","670.00","31.94","0.00","0.00","0.00","Ksh","Cash","14.04.2023 07:29","11.00","Finished"
"13.04.2023 13:56","Uchumi Road, Nairobi","380.00","18.33","0.00","0.00","0.00","Ksh","Cash","13.04.2023 14:41","7.00","Finished"
"13.04.2023 13:40","Ragati Road, Nairobi","290.00","13.95","0.00","0.00","0.00","Ksh","Cash","13.04.2023 13:54","6.00","Finished"
"13.04.2023 12:57","Timboroa Street, Nairobi","350.00","16.72","0.00","0.00","0.00","Ksh","Cash","13.04.2023 13:34","8.00","Finished"
"13.04.2023 12:28","Keri Road, Nairobi","360.00","17.12","0.00","0.00","0.00","Ksh","Cash","13.04.2023 12:52","6.00","Finished"
"13.04.2023 07:54","K.L.B Road 76, Nairobi","380.00","17.92","0.00","0.00","0.00","Ksh","Cash","13.04.2023 08:24","8.00","Finished"
"13.04.2023 06:46","Donholm, Nairobi","390.00","18.79","0.00","0.00","0.00","Ksh","Cash","13.04.2023 07:45","8.00","Finished"
"11.04.2023 19:46","Eastleigh 1st Avenue, Nairobi","490.00","23.10","0.00","0.00","0.00","Ksh","Cash","11.04.2023 20:59","11.00","Finished"
"11.04.2023 19:18","Jamia Mosque, Banda Street, Nairobi","320.00","15.23","0.00","0.00","0.00","Ksh","Cash","11.04.2023 19:41","6.00","Finished"
"08.04.2023 13:55","Urban Point Hotel, Nairobi","410.00","19.54","0.00","0.00","0.00","Ksh","Cash","08.04.2023 14:20","8.00","Finished"
"07.04.2023 21:45","Ladhies Road 18, Nairobi","340.00","16.32","0.00","0.00","0.00","Ksh","Cash","07.04.2023 22:06","8.00","Finished"
"07.04.2023 20:15","Davison point, Limuru Road, Ruaka, Kenya","550.00","26.33","0.00","0.00","0.00","Ksh","Cash","07.04.2023 20:45","13.00","Finished"
"07.04.2023 19:48","Zuri Ridge Apartments, Ruaka, Kenya","190.00","9.00","0.00","0.00","0.00","Ksh","Cash","07.04.2023 20:10","2.00","Finished"
"07.04.2023 19:14","Parklands Road, Sarit Centre","570.00","26.95","0.00","0.00","0.00","Ksh","Cash","07.04.2023 19:45","13.00","Finished"
"07.04.2023 18:20","Parliament Road, Nairobi","290.00","13.63","0.00","0.00","0.00","Ksh","Cash","07.04.2023 18:30","5.00","Finished"
"07.04.2023 17:35","Limuru Road , Two Rivers Mall","600.00","23.79","100.00","0.00","0.00","Ksh","Cash","07.04.2023 18:09","13.00","Finished"
"07.04.2023 16:28","Mi Vida Homes, Thika Road, Nairobi, Kenya","540.00","25.67","0.00","0.00","0.00","Ksh","Cash","07.04.2023 17:02","12.00","Finished"
"07.04.2023 16:12","Thika Road","380.00","18.15","0.00","0.00","0.00","Ksh","Cash","07.04.2023 16:26","8.00","Finished"
"07.04.2023 13:35","Matolani Lane, Nairobi","920.00","43.70","0.00","0.00","0.00","Ksh","Cash","07.04.2023 14:25","28.00","Finished"
"07.04.2023 12:27","Kasarani Constituency, Nairobi","370.00","17.68","0.00","0.00","0.00","Ksh","Cash","07.04.2023 12:48","8.00","Finished"
"07.04.2023 11:40","Hatheru, Nairobi","760.00","36.01","0.00","0.00","0.00","Ksh","Cash","07.04.2023 12:17","18.00","Finished"
"07.04.2023 10:45","Timboroa Lane, Nairobi","460.00","22.06","0.00","0.00","0.00","Ksh","Cash","07.04.2023 11:22","12.00","Finished"
"07.04.2023 10:11","Kitengela Road, Nairobi","460.00","22.13","0.00","0.00","0.00","Ksh","Cash","07.04.2023 10:39","11.00","Finished"
"07.04.2023 09:37","Nairobi, Kenya","870.00","41.43","0.00","0.00","0.00","Ksh","Cash","07.04.2023 10:12","23.00","Finished"
"07.04.2023 08:09","Doonholm Road, Nairobi","590.00","28.19","0.00","0.00","0.00","Ksh","Cash","07.04.2023 08:42","15.00","Finished"
"06.04.2023 21:18","Nairobi Expressway, Nairobi","590.00","27.96","0.00","0.00","0.00","Ksh","Cash","06.04.2023 22:10","13.00","Finished"
"06.04.2023 20:53","Kirichwa Heights, Nairobi","310.00","14.56","0.00","0.00","0.00","Ksh","Cash","06.04.2023 21:15","7.00","Finished"
