"Order time","Pickup address","Ride price","Booking fee","Toll fee","Cancellation fee","Tip","Currency","Payment method","Payment time","Distance","State"
"30.06.2022 23:45","Lusaka Road, Nairobi","200.00","0.00","0.00","0.00","0.00","Ksh","Cash","30.06.2022 23:53","3.00","Finished"
"30.06.2022 22:53","Terminal 1A & 1D, Nairobi Jomo Kenyatta Airport (NBO)","540.00","0.00","0.00","0.00","0.00","Ksh","Cash","30.06.2022 23:43","14.00","Finished"
"30.06.2022 20:35","The Attic Place, Nairobi, Kenya","900.00","0.00","100.00","0.00","0.00","Ksh","Cash","30.06.2022 21:15","20.00","Finished"
"30.06.2022 19:25","Platinum surgery center, Argwings Kodhek Road, Nairobi, Kenya","390.00","0.00","0.00","0.00","0.00","Ksh","Cash","30.06.2022 19:55","9.00","Finished"
"30.06.2022 18:58","Gitanga Road, Nairobi","180.00","0.00","0.00","0.00","0.00","Ksh","Cash","30.06.2022 19:06","1.00","Finished"
"30.06.2022 17:00","Uchumi Road, Nairobi","500.00","0.00","0.00","0.00","0.00","Ksh","Cash","30.06.2022 17:50","9.00","Finished"
"30.06.2022 16:07","Brookside Drive, Nairobi","530.00","0.00","0.00","0.00","0.00","Ksh","Cash","30.06.2022 16:59","9.00","Finished"
"30.06.2022 15:25","Eastleigh 1st Avenue, Nairobi","430.00","0.00","0.00","0.00","0.00","Ksh","Cash","30.06.2022 16:07","8.00","Finished"
"30.06.2022 14:14","Donholm, Nairobi 00100","480.00","0.00","0.00","0.00","0.00","Ksh","Cash","30.06.2022 15:21","9.00","Finished"
"30.06.2022 12:53","Mbagathi Way off, Nairobi","610.00","0.00","0.00","0.00","0.00","Ksh","Cash","30.06.2022 13:40","14.00","Finished"
"30.06.2022 11:14","Harambee Avenue, Nairobi","180.00","0.00","0.00","0.00","0.00","Ksh","Cash","30.06.2022 11:39","2.00","Finished"
"30.06.2022 10:27","Kitisuru, Nairobi","430.00","0.00","0.00","0.00","0.00","Ksh","Cash","30.06.2022 11:01","8.00","Finished"
"30.06.2022 09:13","Nairobi, Kenya","710.00","0.00","0.00","0.00","0.00","Ksh","Cash","30.06.2022 09:53","20.00","Finished"
"30.06.2022 08:58","Kiasungur Road, Nairobi","180.00","0.00","0.00","0.00","0.00","Ksh","Cash","30.06.2022 09:13","2.00","Finished"
"30.06.2022 07:48","Kasarani Constituency, Nairobi","1270.00","0.00","0.00","0.00","0.00","Ksh","Cash","30.06.2022 08:56","31.00","Finished"
"28.06.2022 22:17","Seasons Road, Nairobi","200.00","0.00","0.00","0.00","0.00","Ksh","Cash","28.06.2022 22:29","2.00","Finished"
"28.06.2022 21:36","Mirema Road, Nairobi","310.00","0.00","0.00","0.00","0.00","Ksh","Cash","28.06.2022 21:54","6.00","Finished"
"28.06.2022 20:59","Times tower, Haile Sellassie Avenue, Nairobi","560.00","0.00","0.00","0.00","0.00","Ksh","Cash","28.06.2022 21:36","14.00","Finished"
"28.06.2022 20:24","Silverstone Apartment, Argwings Kodhek Road, Nairobi","320.00","0.00","0.00","0.00","0.00","Ksh","Cash","28.06.2022 20:52","7.00","Finished"
"28.06.2022 19:41","Kilimani RD, off elgeyo 4519-00200, Nairobi","180.00","0.00","0.00","0.00","0.00","Ksh","Cash","28.06.2022 19:55","2.00","Finished"
"28.06.2022 18:34","Ole Odume Road, Nairobi","180.00","0.00","0.00","0.00","0.00","Ksh","Cash","28.06.2022 18:52","2.00","Finished"
"28.06.2022 16:30","Commercial Street 11, Nairobi","460.00","0.00","0.00","0.00","0.00","Ksh","Cash","28.06.2022 17:35","9.00","Finished"
"28.06.2022 16:04","Rumbi Road 13, Nairobi","220.00","0.00","0.00","0.00","0.00","Ksh","Cash","28.06.2022 16:19","3.00","Finished"
"28.06.2022 15:30","First Avenue Eastleigh, Nairobi","340.00","0.00","0.00","0.00","0.00","Ksh","Cash","28.06.2022 15:49","7.00","Finished"
"28.06.2022 14:57","Plainsview Road, Nairobi","360.00","0.00","0.00","0.00","0.00","Ksh","Cash","28.06.2022 15:22","6.00","Finished"
"28.06.2022 13:08","Kikuyu Road, Nairobi","1140.00","0.00","0.00","0.00","0.00","Ksh","Cash","28.06.2022 13:57","30.00","Finished"
"28.06.2022 12:15","Kamukunji Road, Nairobi","740.00","0.00","0.00","0.00","0.00","Ksh",Bolt Payment,"28.06.2022 13:06","16.00","Finished"
"28.06.2022 07:56","Kasarani Constituency, Nairobi","760.00","0.00","0.00","0.00","0.00","Ksh","Cash","28.06.2022 09:17","17.00","Finished"
"27.06.2022 20:09","Koinage Street College House, Nairobi","490.00","0.00","0.00","0.00","0.00","Ksh","Cash","27.06.2022 20:32","12.00","Finished"
"27.06.2022 19:56","Utalii Street, Nairobi","180.00","0.00","0.00","0.00","0.00","Ksh","Cash","27.06.2022 20:05","0.00","Finished"
"27.06.2022 18:33","Mkungu Close Mkungu Cl, Nairobi, Nairobi","390.00","0.00","0.00","0.00","0.00","Ksh","Cash","27.06.2022 19:07","9.00","Finished"
