"Order time","Pickup address","Ride price","Booking fee","Toll fee","Cancellation fee","Tip","Currency","Payment method","Payment time","Distance","State"
"08.05.2023 20:42","Uchumi Road, Nairobi","330.00","15.48","0.00","0.00","0.00","Ksh","Cash","08.05.2023 21:06","7.00","Finished"
"08.05.2023 19:41","General Waruingi Street, Nairobi","480.00","23.06","0.00","0.00","0.00","Ksh","Cash","08.05.2023 20:18","10.00","Finished"
"08.05.2023 17:59","Nile Crescent, silanga close, Nairobi, Kenya","210.00","10.22","0.00","0.00","0.00","Ksh","Cash","08.05.2023 18:21","4.00","Finished"
"08.05.2023 17:33","The Waterfront Karen, Karen Road, Nairobi","260.00","12.23","0.00","0.00","0.00","Ksh","Cash","08.05.2023 17:50","5.00","Finished"
"08.05.2023 16:19","Kaputei Road, Nairobi","440.00","20.78","0.00","0.00","0.00","Ksh","Cash","08.05.2023 16:56","10.00","Finished"
"08.05.2023 15:40","Olive Crescent International School, Kolobot Drive, Nairobi, Kenya","340.00","16.32","0.00","0.00","0.00","Ksh","Cash","08.05.2023 16:15","7.00","Finished"
"08.05.2023 15:03","Mövenpick Hotel & Residences Nairobi, Mkungu Close Mkungu Cl, Nairobi, Nairobi","290.00","13.97","0.00","0.00","0.00","Ksh","Cash","08.05.2023 15:26","5.00","Finished"
"08.05.2023 14:19","Kencom, Nairobi","460.00","21.77","0.00","0.00","0.00","Ksh","Cash","08.05.2023 14:57","7.00","Finished"
"08.05.2023 10:00","Batubatu Gardens 08, Nairobi","200.00","9.58","0.00","0.00","0.00","Ksh","Cash","08.05.2023 10:16","3.00","Finished"
"08.05.2023 09:31","Ring Road Kilimani, Nairobi","360.00","17.20","0.00","0.00","0.00","Ksh","Cash","08.05.2023 09:51","8.00","Finished"
"08.05.2023 09:07","Muthithi Road 30, Nairobi","290.00","13.82","0.00","0.00","0.00","Ksh","Cash","08.05.2023 09:22","6.00","Finished"
"04.05.2023 15:58","Embakasi, Nairobi","1160.00","52.83","50.00","0.00","0.00","Ksh","Cash","04.05.2023 16:50","32.00","Finished"
"04.05.2023 14:16","Outer Ring Road, Nairobi","210.00","10.09","0.00","0.00","0.00","Ksh","Cash","04.05.2023 14:59","4.00","Finished"
"01.05.2023 18:34","Kahawa 10100, Kenya","330.00","15.62","0.00","0.00","0.00","Ksh","Cash","01.05.2023 19:09","5.00","Finished"
"01.05.2023 17:01","Nairobi South, Nairobi","540.00","25.52","0.00","0.00","0.00","Ksh","Cash","01.05.2023 17:26","11.00","Finished"
"01.05.2023 16:41","The Well Karen, Langata Road, Nairobi","490.00","23.29","0.00","0.00","0.00","Ksh","Cash","01.05.2023 17:01","13.00","Finished"
"01.05.2023 14:33","Musufi Road, Nairobi","670.00","22.40","200.00","0.00","0.00","Ksh","Cash","01.05.2023 15:09","9.00","Finished"
"01.05.2023 13:44","Embakasi, Nairobi","560.00","26.54","0.00","0.00","0.00","Ksh","Cash","01.05.2023 14:13","13.00","Finished"
"01.05.2023 12:57","Njiru Tile Centre, Kasarani, Kenya","530.00","25.26","0.00","0.00","0.00","Ksh","Cash","01.05.2023 13:43","12.00","Finished"
"01.05.2023 12:27","Sabasaba Lane, Nairobi","210.00","9.88","0.00","0.00","0.00","Ksh","Cash","01.05.2023 12:51","4.00","Finished"
"01.05.2023 11:35","Gatonye Court, Nairobi","330.00","15.77","0.00","0.00","0.00","Ksh","Cash","01.05.2023 12:16","7.00","Finished"
