"Year","Month","Credit (Efts) Volumes","Credit (Efts) Values (Kshs Billions)","Debit (Cheques) Volumes","Debit (Cheques) Values (Kshs Billions)"
"2024","February","1630660","81.39","1245818","214.10"
"2024","January","1433411","74.93","1251144","227.92"
"2023","September","1367071","74.25","1267117","211.22"
"2023","August","1538851","81.44","1244079","221.12"
"2023","July","1473440","79.15","1250606","209.89"
"2023","June","1425619","82.53","1279577","206.85"
"2023","May","1521580","81.14","1418993","225.63"
"2023","April","1317584","67.01","1118944","185.60"
"2023","March","1565520","85.24","1393844","230.48"
"2023","February","1161105","68.25","1304939","212.48"
"2023","December","1640838","87.11","1053822","199.89"
"2023","November","1530345","79.95","1128833","209.12"
"2023","October","1717743","94.87","1251489","219.81"
"2023","January","1110886","66.94","1149277","207.93"
"2022","September","1499526","74.59","1253291","210.95"
"2022","August","1404843","73.74","1276490","207.72"
"2022","July","1182176","67.08","1301385","211.24"
"2022","June","1313180","74.48","1421854","219.18"
"2022","May","1362499","76.02","1540807","240.43"
"2022","April","1173900","66.88","1127655","191.53"
"2022","March","1548126","80.81","1428787","232.02"
"2022","February","1238252","63.84","1292018","198.73"
"2022","December","1503824","84.09","1184744","209.53"
"2022","November","1301980","74.76","1307256","220.76"
"2022","October","1277863","72.19","1294904","212.44"
"2022","January","1018275","55.74","1257510","199.76"
"2021","September","1245337","66.40","1419518","216.98"
"2021","August","1280302","66.73","1538947","230.03"
"2021","July","1313506","67.61","1363794","212.32"
"2021","June","1316887","66.78","1407619","211.65"
"2021","May","1145526","60.41","1311460","203.03"
"2021","April","1300321","60.98","1226154","204.74"
"2021","March","1443717","73.45","1462004","229.22"
"2021","February","1062438","55.62","1301611","195.95"
"2021","December","1470916","79.15","1349453","217.63"
"2021","November","1284122","70.61","1423871","223.99"
"2021","October","1169749","64.26","1339464","205.90"
"2021","January","901378","48.62","1237743","189.03"
"2020","September","1116323","58.78948693","1231102","197.61303974"
"2020","August","1096016","57.32436540","1178799","186.99974310"
"2020","July","1029543","54.92276310","1211462","188.53220717"
"2020","June","1195818","61.25741912","1153318","181.4089752"
