"Year","Month","USD Values (Millions)","USD Volumes (000’s)","EURO Values (Millions)","EURO Volumes (000’s)","GBP Values (Millions)","GBP Volumes (000’s)"
"2024","January","57.26","21.43","2.23","0.61","0.29","0.08"
"2024","January","59.12","22.29","1.82","0.55","0.11","0.07"
"2023","September","59.69","22.79","1.81","0.56","0.17","0.06"
"2023","January","58.45","21.99","1.90","0.56","0.10","0.05"
"2023","October","58.53","22.68","1.92","0.56","0.21","0.07"
"2023","May","66.32","25.29","2.01","0.62","0.15","0.06"
"2023","June","61.85","24.18","1.59","0.49","0.10","0.05"
"2023","March","61.41","21.93","2.04","0.62","0.15","0.10"
"2023","August","68.53","26.98","1.85","0.55","0.12","0.04"
"2023","April","51.99","18.84","1.73","0.48","0.10","0.04"
