"Order time","Pickup address","Ride price","Booking fee","Toll fee","Cancellation fee","Tip","Currency","Payment method","Payment time","Distance","State"
"27.08.2022 15:50","Kahawa South, Nairobi","620.00","19.30","0.00","0.00","0.00","Ksh","Cash","27.08.2022 16:24","15.00","Finished"
"27.08.2022 15:10","Nairobi, Kenya","190.00","5.76","0.00","0.00","0.00","Ksh","Cash","27.08.2022 15:25","1.00","Finished"
"26.08.2022 01:43","Mihango, Nairobi","430.00","13.20","0.00","0.00","0.00","Ksh","Cash","26.08.2022 02:12","8.00","Finished"
"26.08.2022 01:05","Punda Milia Crescent, Nairobi","720.00","21.91","0.00","0.00","0.00","Ksh","Cash","26.08.2022 01:31","18.00","Finished"
"26.08.2022 00:38","Sore Road, Nairobi","190.00","5.76","0.00","0.00","0.00","Ksh","Cash","26.08.2022 00:51","2.00","Finished"
"25.08.2022 22:22","Ruaraka, Nairobi","720.00","21.88","0.00","0.00","0.00","Ksh","Cash","25.08.2022 23:04","18.00","Finished"
"25.08.2022 21:38","Eastern Bypass, Nairobi","800.00","24.05","0.00","0.00","0.00","Ksh","Cash","25.08.2022 22:25","16.00","Finished"
"25.08.2022 20:00","Moi Avenue Moi Avenue, Nairobi 00101","1060.00","31.10","0.00","0.00","0.00","Ksh","Cash","25.08.2022 20:41","25.00","Finished"
"25.08.2022 18:58","Madina Mall, Madina Mall, Eastleigh First Avenue, Starehe, Kenya","190.00","5.76","0.00","0.00","0.00","Ksh","Cash","25.08.2022 19:26","3.00","Finished"
"25.08.2022 18:28","Sonia Lane, Nairobi","370.00","11.34","0.00","0.00","0.00","Ksh","Cash","25.08.2022 18:56","8.00","Finished"
"25.08.2022 16:24","Kikambala Road, Nairobi","550.00","16.97","0.00","0.00","0.00","Ksh","Cash","25.08.2022 17:22","12.00","Finished"
"25.08.2022 15:00","Naivas Supermarket-Kilimani, Tigoni Road, Nairobi, Kenya","190.00","5.76","0.00","0.00","0.00","Ksh","Cash","25.08.2022 15:18","2.00","Finished"
"25.08.2022 14:14","Patriotic Security Group, Wood Avenue off, Nairobi","190.00","5.76","0.00","0.00","0.00","Ksh","Cash","25.08.2022 14:21","1.00","Finished"
"25.08.2022 13:23","Muniami Street, Nairobi","490.00","15.31","0.00","0.00","0.00","Ksh","Cash","25.08.2022 13:56","12.00","Finished"
"25.08.2022 11:16","Ngong Road, Nairobi","420.00","12.97","0.00","0.00","0.00","Ksh","Cash","25.08.2022 11:47","9.00","Finished"
"25.08.2022 09:49","Lusaka Road OiLibya, Nairobi","260.00","8.10","0.00","0.00","0.00","Ksh","Cash","25.08.2022 10:07","5.00","Finished"
"25.08.2022 09:08","Kobe Road, Nairobi","600.00","18.47","0.00","0.00","0.00","Ksh","Cash","25.08.2022 09:43","13.00","Finished"
"25.08.2022 08:06","1st Hunters' Link Road, Nairobi","310.00","9.68","0.00","0.00","0.00","Ksh","Cash","25.08.2022 08:28","5.00","Finished"
"25.08.2022 07:29","Hunters Road, Nairobi","300.00","9.22","0.00","0.00","0.00","Ksh","Cash","25.08.2022 07:57","6.00","Finished"
"21.08.2022 08:31","Uthiru Gichagi Road, Nairobi","490.00","15.11","0.00","0.00","0.00","Ksh","Cash","21.08.2022 09:01","10.00","Finished"
"21.08.2022 02:29","Nairobi, Kenya","260.00","8.05","0.00","0.00","0.00","Ksh","Cash","21.08.2022 02:50","4.00","Finished"
"21.08.2022 01:01","Embakasi, Nairobi","250.00","7.83","0.00","0.00","0.00","Ksh","Cash","21.08.2022 01:22","5.00","Finished"
"21.08.2022 00:26","Embakasi, Nairobi","390.00","12.17","0.00","0.00","0.00","Ksh","Cash","21.08.2022 00:47","10.00","Finished"
"20.08.2022 22:51","Lucky summer playground, Nairobi","700.00","21.52","0.00","0.00","0.00","Ksh","Cash","20.08.2022 23:49","17.00","Finished"
"20.08.2022 22:25","Outer Ring Road, Nairobi","310.00","9.48","0.00","0.00","0.00","Ksh","Cash","20.08.2022 22:46","6.00","Finished"
"20.08.2022 21:56","Crow Daddy's Bar & Restaurant, Nairobi","670.00","20.42","0.00","0.00","0.00","Ksh","Cash","20.08.2022 22:28","17.00","Finished"
"20.08.2022 18:37","Kasarani Constituency, Nairobi","430.00","13.19","0.00","0.00","0.00","Ksh","Cash","20.08.2022 19:10","8.00","Finished"
"18.08.2022 11:40","University Way, Nairobi","240.00","7.59","0.00","0.00","0.00","Ksh","Cash","18.08.2022 11:51","4.00","Finished"
"18.08.2022 09:57","Serene Gardens, Syokimau - Katani Road, Kenya","930.00","27.93","0.00","0.00","0.00","Ksh","Cash","18.08.2022 11:25","22.00","Finished"
"18.08.2022 07:13","Mugumo, Nairobi","1149.00","33.71","0.00","0.00","0.00","Ksh",Bolt Payment,"18.08.2022 08:06","27.00","Finished"
"17.08.2022 22:53","Embakasi, Nairobi","340.00","10.43","0.00","0.00","0.00","Ksh","Cash","17.08.2022 23:08","7.00","Finished"
"17.08.2022 21:32","Kaunda Street, Nairobi","500.00","15.61","0.00","0.00","0.00","Ksh","Cash","17.08.2022 21:56","11.00","Finished"
"17.08.2022 21:16","Kindaruma Road, Nairobi","250.00","7.71","0.00","0.00","0.00","Ksh","Cash","17.08.2022 21:29","5.00","Finished"
"17.08.2022 20:54","Kimathi Street Kimathi House, Nairobi","260.00","8.11","0.00","0.00","0.00","Ksh","Cash","17.08.2022 21:12","5.00","Finished"
"17.08.2022 18:42","Tausi Road, Nairobi","190.00","5.76","0.00","0.00","0.00","Ksh","Cash","17.08.2022 18:54","2.00","Finished"
"17.08.2022 17:30","Naivasha Road, Nairobi","390.00","11.99","0.00","0.00","0.00","Ksh","Cash","17.08.2022 17:53","6.00","Finished"
