"Order time","Pickup address","Ride price","Booking fee","Toll fee","Cancellation fee","Tip","Currency","Payment method","Payment time","Distance","State"
"22.12.2022 19:13","Tea Room, Accra Road, Nairobi","870.00","37.46","0.00","0.00","0.00","Ksh","Cash","22.12.2022 20:12","11.00","Finished"
"22.12.2022 18:23","Ewaso Ngiro Park 312, Nairobi","560.00","24.17","0.00","0.00","0.00","Ksh","Cash","22.12.2022 19:13","9.00","Finished"
"22.12.2022 17:33","Embakasi, Nairobi","710.00","30.26","0.00","0.00","0.00","Ksh","Cash","22.12.2022 18:24","18.00","Finished"
"22.12.2022 15:52","Kenya National Examination Council, Nairobi","450.00","19.33","0.00","0.00","0.00","Ksh","Cash","22.12.2022 16:19","9.00","Finished"
"22.12.2022 15:10","9th Street, Nairobi, Kenya","490.00","21.00","0.00","0.00","0.00","Ksh","Cash","22.12.2022 15:49","7.00","Finished"
"22.12.2022 14:40","Pumwani Secondary School, General Waruingi Street, Nairobi","280.00","11.91","0.00","0.00","0.00","Ksh","Cash","22.12.2022 15:15","1.00","Finished"
"22.12.2022 14:19","Juja Road, Nairobi","260.00","11.18","0.00","0.00","0.00","Ksh","Cash","22.12.2022 14:36","2.00","Finished"
"22.12.2022 12:06","Hospital Road, Nairobi","370.00","15.68","0.00","0.00","0.00","Ksh","Cash","22.12.2022 12:44","7.00","Finished"
"22.12.2022 11:49","Upper Hill Medical Centre, Java House, Ralph Bunche Road, Nairobi, Kenya","190.00","8.06","0.00","0.00","0.00","Ksh","Cash","22.12.2022 12:03","2.00","Finished"
"22.12.2022 11:32","S.P.S Lane, Nairobi","280.00","12.21","0.00","0.00","0.00","Ksh","Cash","22.12.2022 11:46","5.00","Finished"
"22.12.2022 10:59","Melili Road, Nairobi","530.00","22.78","0.00","0.00","0.00","Ksh","Cash","22.12.2022 11:31","8.00","Finished"
"22.12.2022 10:14","Mbaazi Avenue, Nairobi","420.00","17.80","0.00","0.00","0.00","Ksh","Cash","22.12.2022 10:45","8.00","Finished"
"22.12.2022 08:47","Marula Lane 47, Nairobi","310.00","13.14","0.00","0.00","0.00","Ksh","Cash","22.12.2022 09:21","6.00","Finished"
"22.12.2022 06:59","Plainsview Road, Nairobi","840.00","34.87","0.00","0.00","0.00","Ksh","Cash","22.12.2022 07:41","23.00","Finished"
"22.12.2022 06:09","Muthaiga North Gardens, Nairobi","640.00","27.27","0.00","0.00","0.00","Ksh","Cash","22.12.2022 06:39","12.00","Finished"
"22.12.2022 05:53","Ruiru, Kenya","480.00","20.37","0.00","0.00","0.00","Ksh","Cash","22.12.2022 06:12","11.00","Finished"
"22.12.2022 05:28","Hunters Road, Nairobi","490.00","21.07","0.00","0.00","0.00","Ksh","Cash","22.12.2022 05:49","11.00","Finished"
"20.12.2022 20:42","Haile Selassie Avenue, Nairobi","600.00","25.73","0.00","0.00","0.00","Ksh","Cash","20.12.2022 21:12","11.00","Finished"
"20.12.2022 19:05","Manyanja Road, Nairobi","720.00","30.90","0.00","0.00","0.00","Ksh","Cash","20.12.2022 20:25","9.00","Finished"
"20.12.2022 18:40","Donholm Road, Nairobi","210.00","9.12","0.00","0.00","0.00","Ksh","Cash","20.12.2022 18:56","3.00","Finished"
"20.12.2022 17:32","Uchumi Road, Nairobi","630.00","26.86","0.00","0.00","0.00","Ksh","Cash","20.12.2022 18:34","11.00","Finished"
"20.12.2022 16:42","Loita Street Jamahiriya House, Nairobi","450.00","19.46","0.00","0.00","0.00","Ksh","Cash","20.12.2022 17:32","5.00","Finished"
"20.12.2022 15:14","Jonem Apartments, Lumumba 1st Avenue, Nairobi, Kenya","680.00","29.35","0.00","0.00","0.00","Ksh","Cash","20.12.2022 16:42","12.00","Finished"
"20.12.2022 14:49","J&M Gardens Apartment - Garden Estate, JM Gardens, Nairobi, Kenya","270.00","11.42","0.00","0.00","0.00","Ksh","Cash","20.12.2022 15:07","4.00","Finished"
"20.12.2022 14:16","Kamiti Road, Nairobi","360.00","15.27","0.00","0.00","0.00","Ksh","Cash","20.12.2022 14:50","7.00","Finished"
"20.12.2022 13:40","Laikipia Road, Nairobi","770.00","32.30","0.00","0.00","0.00","Ksh","Cash","20.12.2022 14:18","17.00","Finished"
"20.12.2022 13:18","Parklands Sports Club, Nairobi","220.00","9.56","0.00","0.00","0.00","Ksh","Cash","20.12.2022 13:38","3.00","Finished"
"20.12.2022 12:57","Mpaka Road 1st Flr, Bishan Plaza, Nairobi","190.00","8.06","0.00","0.00","0.00","Ksh","Cash","20.12.2022 13:06","1.00","Finished"
"18.12.2022 16:46","Doksa Traders, Ruiru, Kenya","470.00","20.34","0.00","0.00","0.00","Ksh","Cash","18.12.2022 17:12","12.00","Finished"
"18.12.2022 15:15","City Chicken Road, Nairobi","870.00","37.03","0.00","0.00","0.00","Ksh","Cash","18.12.2022 16:14","16.00","Finished"
"18.12.2022 14:26","Nairobi, Kenya","630.00","24.98","50.00","0.00","0.00","Ksh","Cash","18.12.2022 15:14","9.00","Finished"
"18.12.2022 13:39","Eastleigh North, Nairobi","400.00","17.23","0.00","0.00","0.00","Ksh","Cash","18.12.2022 14:10","8.00","Finished"
"18.12.2022 13:13","Muthaiga, Nairobi","300.00","12.80","0.00","0.00","0.00","Ksh","Cash","18.12.2022 13:40","5.00","Finished"
"18.12.2022 12:47","Waiyaki Way, Nairobi","380.00","16.18","0.00","0.00","0.00","Ksh","Cash","18.12.2022 13:07","8.00","Finished"
"18.12.2022 11:53","Emergencies, Kenyatta National Hospital","580.00","24.68","0.00","0.00","0.00","Ksh","Cash","18.12.2022 12:43","13.00","Finished"
"18.12.2022 11:12","Njiru, Nairobi","700.00","29.84","0.00","0.00","0.00","Ksh","Cash","18.12.2022 11:52","17.00","Finished"
"18.12.2022 10:27","Total Donholm, Outer Ring Road, Nairobi","370.00","15.71","0.00","0.00","0.00","Ksh","Cash","18.12.2022 10:54","5.00","Finished"
"18.12.2022 09:53","KENIA COURT, Alozi Estate Road, Nairobi, Kenya","420.00","18.05","0.00","0.00","0.00","Ksh","Cash","18.12.2022 10:27","11.00","Finished"
"18.12.2022 09:38","Kasarani Constituency, Nairobi","330.00","14.14","0.00","0.00","0.00","Ksh","Cash","18.12.2022 09:59","6.00","Finished"
"18.12.2022 09:26","Sports View Road, Nairobi","230.00","9.68","0.00","0.00","0.00","Ksh","Cash","18.12.2022 09:39","1.00","Finished"
"18.12.2022 09:12","Hunters Road, Nairobi","220.00","9.63","0.00","0.00","0.00","Ksh","Cash","18.12.2022 09:25","3.00","Finished"
"17.12.2022 21:53","Summer Breeze, Nairobi","420.00","17.98","0.00","0.00","0.00","Ksh","Cash","17.12.2022 22:12","7.00","Finished"
"17.12.2022 21:11","James Gichuru Road, Nairobi","190.00","8.06","0.00","0.00","0.00","Ksh","Cash","17.12.2022 21:17","1.00","Finished"
"17.12.2022 19:26","James Gichuru Road, Nairobi","570.00","24.44","0.00","0.00","0.00","Ksh","Cash","17.12.2022 20:12","13.00","Finished"
"17.12.2022 18:29","General Waruingi Street, Nairobi","930.00","40.01","0.00","0.00","0.00","Ksh","Cash","17.12.2022 19:18","15.00","Finished"
