"Order time","Pickup address","Ride price","Booking fee","Toll fee","Cancellation fee","Tip","Currency","Payment method","Payment time","Distance","State"
"30.07.2022 22:56","Embakasi, Nairobi","630.00","19.53","0.00","0.00","0.00","Ksh","Cash","30.07.2022 23:44","14.00","Finished"
"30.07.2022 21:48","3rd Sunrise Avenue","1010.00","29.68","0.00","0.00","0.00","Ksh","Cash","30.07.2022 22:49","26.00","Finished"
"30.07.2022 21:19","Baringo Road","320.00","9.85","0.00","0.00","0.00","Ksh","Cash","30.07.2022 21:43","7.00","Finished"
"30.07.2022 17:27","Makini School Basketball Court, Riara Road, Nairobi","190.00","5.76","0.00","0.00","0.00","Ksh","Cash","30.07.2022 17:41","2.00","Finished"
"30.07.2022 16:05","Riara Road, The Junction Mall","190.00","5.76","0.00","0.00","0.00","Ksh","Cash","30.07.2022 16:15","1.00","Finished"
"30.07.2022 15:39","Pinotage, Lenana Road, Nairobi","280.00","8.82","0.00","0.00","0.00","Ksh","Cash","30.07.2022 16:04","5.00","Finished"
"30.07.2022 14:40","Chalbi Drive 23, Nairobi","440.00","13.59","0.00","0.00","0.00","Ksh","Cash","30.07.2022 15:10","9.00","Finished"
"30.07.2022 14:04","City Park Link Road, Nairobi","480.00","14.80","0.00","0.00","0.00","Ksh","Cash","30.07.2022 14:38","10.00","Finished"
"30.07.2022 13:22","Eastleigh 1st Avenue, Nairobi","370.00","11.62","0.00","0.00","0.00","Ksh","Cash","30.07.2022 14:03","6.00","Finished"
"30.07.2022 12:36","Muthaiga Square, Thika Road, Nairobi","330.00","10.20","0.00","0.00","0.00","Ksh","Cash","30.07.2022 13:18","5.00","Finished"
"30.07.2022 11:50","Kasarani Constituency, Nairobi 00200","640.00","19.82","0.00","0.00","0.00","Ksh","Cash","30.07.2022 12:32","12.00","Finished"
"30.07.2022 02:43","Ruaka, Kenya","530.00","16.52","0.00","0.00","0.00","Ksh","Cash","30.07.2022 03:12","14.00","Finished"
"30.07.2022 01:58","Nairobi, Kenya","580.00","17.91","0.00","0.00","0.00","Ksh","Cash","30.07.2022 02:36","15.00","Finished"
"30.07.2022 01:13","Roasters Inn, Garden Estate Road, Nairobi","370.00","11.44","0.00","0.00","0.00","Ksh","Cash","30.07.2022 01:37","6.00","Finished"
"30.07.2022 00:47","Nairobi, Kenya","250.00","7.91","0.00","0.00","0.00","Ksh","Cash","30.07.2022 01:02","5.00","Finished"
"29.07.2022 23:03","Embakasi, Nairobi","410.00","12.64","0.00","0.00","0.00","Ksh","Cash","29.07.2022 23:31","8.00","Finished"
"29.07.2022 22:34","Savannah Phase 4 277, Nairobi","220.00","6.80","0.00","0.00","0.00","Ksh","Cash","29.07.2022 23:00","4.00","Finished"
"29.07.2022 22:20","Donholm Road, Nairobi","190.00","5.76","0.00","0.00","0.00","Ksh","Cash","29.07.2022 22:30","0.00","Finished"
"29.07.2022 22:00","Donholm, Nairobi","190.00","5.76","0.00","0.00","0.00","Ksh","Cash","29.07.2022 22:15","2.00","Finished"
"29.07.2022 21:24","Fedha Road, نيروبي","240.00","7.34","0.00","0.00","0.00","Ksh","Cash","29.07.2022 21:43","4.00","Finished"
"29.07.2022 20:26","Kamburu Drive","680.00","20.81","0.00","0.00","0.00","Ksh","Cash","29.07.2022 21:03","16.00","Finished"
"29.07.2022 19:40","Westlands Expressway Entry, Nairobi","360.00","11.05","0.00","0.00","0.00","Ksh","Cash","29.07.2022 20:09","7.00","Finished"
"29.07.2022 17:59","Embakasi, Nairobi","720.00","21.90","0.00","0.00","0.00","Ksh",Bolt Payment,"29.07.2022 18:55","17.00","Finished"
"29.07.2022 13:59","Maziwa, Nairobi","1170.00","34.23","0.00","0.00","0.00","Ksh","Cash","29.07.2022 15:25","26.00","Finished"
"29.07.2022 12:44","Pili Trade Center, Nairobi, Kenya","910.00","27.15","0.00","0.00","0.00","Ksh","Cash","29.07.2022 13:54","23.00","Finished"
"29.07.2022 08:22","Kiambu, Kenya","270.00","8.40","0.00","0.00","0.00","Ksh","Cash","29.07.2022 08:54","6.00","Finished"
