"Order time","Pickup address","Ride price","Booking fee","Toll fee","Cancellation fee","Tip","Currency","Payment method","Payment time","Distance","State"
"29.03.2023 08:47","Avenue Park 1, Outer Ring Road, Nairobi","200.00","9.31","0.00","0.00","0.00","Ksh","Cash","29.03.2023 09:17","3.00","Finished"
"26.03.2023 10:41","Balozi Estate, Nairobi","210.00","9.90","0.00","0.00","0.00","Ksh","Cash","26.03.2023 10:56","4.00","Finished"
"26.03.2023 09:56","Donholm Savannah Road 382, Nairobi","460.00","21.84","0.00","0.00","0.00","Ksh","Cash","26.03.2023 10:30","11.00","Finished"
"25.03.2023 19:54","Agoi Road, Nairobi","440.00","21.18","0.00","0.00","0.00","Ksh","Cash","25.03.2023 20:20","10.00","Finished"
"25.03.2023 19:35","Defence Forces Memorial Hospital, Nairobi","410.00","19.59","0.00","0.00","0.00","Ksh","Cash","25.03.2023 19:54","9.00","Finished"
"25.03.2023 19:03","Railway Training Institute, Nairobi","290.00","13.60","0.00","0.00","0.00","Ksh","Cash","25.03.2023 19:33","5.00","Finished"
"25.03.2023 17:30","Embakasi, Nairobi","530.00","25.28","0.00","0.00","0.00","Ksh","Cash","25.03.2023 17:54","14.00","Finished"
"25.03.2023 15:25","Kindaruma Lane, Nairobi","360.00","17.33","0.00","0.00","0.00","Ksh","Cash","25.03.2023 15:56","6.00","Finished"
"25.03.2023 14:32","Lower Kabete Road, Sarit Centre","360.00","16.99","0.00","0.00","0.00","Ksh","Cash","25.03.2023 15:02","7.00","Finished"
"25.03.2023 13:59","Murang'a Road, Nairobi","310.00","14.67","0.00","0.00","0.00","Ksh","Cash","25.03.2023 14:24","6.00","Finished"
"25.03.2023 13:29","Riverside Drive, Nairobi","310.00","14.57","0.00","0.00","0.00","Ksh","Cash","25.03.2023 13:52","5.00","Finished"
"25.03.2023 13:01","Harambee Avenue 3, Nairobi PO Box 30074-00100 Nairobi","310.00","14.87","0.00","0.00","0.00","Ksh",Bolt Payment,"25.03.2023 13:28","5.00","Finished"
"25.03.2023 12:32","Albarsha Apartments, Eldoret Road, Nairobi, Kenya","320.00","15.33","0.00","0.00","0.00","Ksh","Cash","25.03.2023 13:00","3.00","Finished"
"25.03.2023 11:32","Waudo Street, Nairobi","330.00","15.63","0.00","0.00","0.00","Ksh","Cash","25.03.2023 11:56","7.00","Finished"
"25.03.2023 10:52","Five Star Phase 1 Estate, Five Star Road, Nairobi, Kenya","390.00","18.44","0.00","0.00","0.00","Ksh","Cash","25.03.2023 11:24","7.00","Finished"
"25.03.2023 10:12","Major Jackson Muirithi Street, Nairobi","400.00","19.23","0.00","0.00","0.00","Ksh","Cash","25.03.2023 10:51","7.00","Finished"
"25.03.2023 09:41","West Suites Sherry Homes, Kisauni Road, Nairobi, Kenya","330.00","15.92","0.00","0.00","0.00","Ksh","Cash","25.03.2023 10:10","7.00","Finished"
"23.03.2023 20:17","Mama Ngina Street, Nairobi","880.00","42.07","0.00","0.00","0.00","Ksh","Cash","23.03.2023 21:31","13.00","Finished"
"23.03.2023 19:41","Jamuhuri Shopping Centre, Nairobi","190.00","9.00","0.00","0.00","0.00","Ksh","Cash","23.03.2023 19:58","2.00","Finished"
"23.03.2023 19:09","FCB Mihrab, Lenana Road, Nairobi","230.00","11.07","0.00","0.00","0.00","Ksh","Cash","23.03.2023 19:26","4.00","Finished"
"23.03.2023 18:50","Naivasha Road, Nairobi","290.00","13.61","0.00","0.00","0.00","Ksh","Cash","23.03.2023 19:05","6.00","Finished"
"23.03.2023 17:45","Emergencies, Kenyatta National Hospital","670.00","32.10","0.00","0.00","0.00","Ksh","Cash","23.03.2023 18:42","9.00","Finished"
"23.03.2023 16:55","Ndoto Road, Nairobi","500.00","23.63","0.00","0.00","0.00","Ksh","Cash","23.03.2023 17:45","6.00","Finished"
"23.03.2023 15:11","General Mathenge Road, Nairobi","650.00","30.85","0.00","0.00","0.00","Ksh","Cash","23.03.2023 16:49","8.00","Finished"
"23.03.2023 14:36","Waudo Street, Nairobi","400.00","19.01","0.00","0.00","0.00","Ksh","Cash","23.03.2023 15:10","9.00","Finished"
"23.03.2023 13:57","Chandarana Foodplus Supermarket (Highridge Branch), Nairobi, Kenya","280.00","13.34","0.00","0.00","0.00","Ksh","Cash","23.03.2023 14:13","5.00","Finished"
"23.03.2023 13:10","TRESHAW INTERNATIONAL SCHOOL, Muhuti Close, Nairobi, Kenya","440.00","21.19","0.00","0.00","0.00","Ksh","Cash","23.03.2023 13:40","9.00","Finished"
"23.03.2023 11:53","Westlands Commercial Centre, Ring Road Parklands, Nairobi","420.00","20.10","0.00","0.00","0.00","Ksh","Cash","23.03.2023 12:30","9.00","Finished"
"23.03.2023 11:09","Maslah Kinyozi, Eastleigh North, Nairobi","350.00","16.49","0.00","0.00","0.00","Ksh","Cash","23.03.2023 11:45","6.00","Finished"
"23.03.2023 10:10","Five Star Road, Nairobi","510.00","24.50","0.00","0.00","0.00","Ksh","Cash","23.03.2023 10:59","7.00","Finished"
"23.03.2023 09:11","Nairobi, Kenya","330.00","15.85","0.00","0.00","0.00","Ksh","Cash","23.03.2023 09:31","7.00","Finished"
"23.03.2023 07:48","Donholm Road, Nairobi","630.00","30.06","0.00","0.00","0.00","Ksh","Cash","23.03.2023 08:58","13.00","Finished"
"22.03.2023 16:43","Ring Road Parklands Kenrail Towers, Nairobi","780.00","36.55","0.00","0.00","0.00","Ksh","Cash","22.03.2023 17:38","21.00","Finished"
"22.03.2023 16:22","3rd Parklands Avenue Mediplaza, Nairobi","240.00","11.20","0.00","0.00","0.00","Ksh","Cash","22.03.2023 16:42","3.00","Finished"
"22.03.2023 15:31","Gate A, Kenya School of Law","860.00","40.06","0.00","0.00","0.00","Ksh","Cash","22.03.2023 16:24","20.00","Finished"
"22.03.2023 14:04","Mombasa Road 34, Nairobi","710.00","33.61","0.00","0.00","0.00","Ksh","Cash","22.03.2023 14:32","18.00","Finished"
"22.03.2023 12:42","Kimathi Street Ground Floor, Nation centre, Nairobi","670.00","31.57","0.00","0.00","0.00","Ksh","Cash","22.03.2023 13:27","16.00","Finished"
"22.03.2023 12:18","Willmary Estate, Nairobi","420.00","19.81","0.00","0.00","0.00","Ksh","Cash","22.03.2023 12:38","9.00","Finished"
