"Order time","Pickup address","Ride price","Booking fee","Toll fee","Cancellation fee","Tip","Currency","Payment method","Payment time","Distance","State"
"27.11.2022 23:48","Quiver Lounge - Thika Road, Thika Road, Nairobi","450.00","19.14","0.00","0.00","0.00","Ksh","Cash","28.11.2022 00:25","8.00","Finished"
"27.11.2022 22:39","Eastleigh North, Nairobi","500.00","21.33","0.00","0.00","0.00","Ksh","Cash","27.11.2022 23:13","10.00","Finished"
"27.11.2022 22:25","General Waruingi Street, Nairobi","260.00","11.29","0.00","0.00","0.00","Ksh","Cash","27.11.2022 22:38","2.00","Finished"
"27.11.2022 22:07","Lower Kabete Road, Sarit Centre","530.00","22.84","0.00","0.00","0.00","Ksh","Cash","27.11.2022 22:25","7.00","Finished"
"27.11.2022 20:56","Miniso, The Village Market","580.00","24.84","0.00","0.00","0.00","Ksh","Cash","27.11.2022 21:32","10.00","Finished"
"27.11.2022 20:16","497 Moi Drive, Nairobi, Kenya","730.00","30.70","0.00","0.00","0.00","Ksh","Cash","27.11.2022 21:00","17.00","Finished"
"27.11.2022 19:46","Koma Rock Estate, Nairobi","280.00","12.01","0.00","0.00","0.00","Ksh","Cash","27.11.2022 20:16","4.00","Finished"
"27.11.2022 18:19","Rosslyn Slaughter Road, Ruaka","1030.00","42.20","0.00","0.00","0.00","Ksh","Cash","27.11.2022 19:32","25.00","Finished"
"27.11.2022 17:35","Sonia Lane, Nairobi","860.00","35.66","0.00","0.00","0.00","Ksh","Cash","27.11.2022 18:15","21.00","Finished"
"27.11.2022 17:13","Accra Road Junction Trade Center, Nairobi","420.00","18.00","0.00","0.00","0.00","Ksh","Cash","27.11.2022 17:32","6.00","Finished"
"27.11.2022 16:35","Ndovu Lane, Nairobi","510.00","21.70","0.00","0.00","0.00","Ksh","Cash","27.11.2022 16:56","11.00","Finished"
"27.11.2022 15:53","Towfiq Shopping Mall, Nairobi, Kenya","590.00","25.27","0.00","0.00","0.00","Ksh","Cash","27.11.2022 16:32","15.00","Finished"
"27.11.2022 14:53","Jacaranda Grove 368, Nairobi","570.00","24.48","0.00","0.00","0.00","Ksh","Cash","27.11.2022 15:49","14.00","Finished"
"27.11.2022 14:43","Nairobi, Kenya","250.00","10.92","0.00","0.00","0.00","Ksh","Cash","27.11.2022 14:54","4.00","Finished"
"27.11.2022 14:03","Lenana Road, Nairobi","450.00","19.35","0.00","0.00","0.00","Ksh","Cash","27.11.2022 14:32","9.00","Finished"
"27.11.2022 13:43","Cardinal Otunga Street, Nairobi","240.00","10.32","0.00","0.00","0.00","Ksh","Cash","27.11.2022 14:02","4.00","Finished"
"27.11.2022 12:35","Ruiru, Kenya","680.00","28.71","0.00","0.00","0.00","Ksh","Cash","27.11.2022 13:01","16.00","Finished"
"27.11.2022 12:01","Tom Mboya Street, Nairobi","760.00","31.76","0.00","0.00","0.00","Ksh","Cash","27.11.2022 12:35","20.00","Finished"
"27.11.2022 11:32","Terryrock Apartments","490.00","20.82","0.00","0.00","0.00","Ksh","Cash","27.11.2022 12:02","8.00","Finished"
"27.11.2022 10:54","Langata paradise apartments, Nairobi","480.00","20.47","0.00","0.00","0.00","Ksh",Bolt Payment,"27.11.2022 11:13","9.00","Finished"
"27.11.2022 10:03","Durham Road, Nairobi","680.00","29.23","0.00","0.00","0.00","Ksh","Cash","27.11.2022 10:43","15.00","Finished"
"27.11.2022 09:24","Beatriz La Roca Apartments, Nairobi, Kenya","710.00","29.76","0.00","0.00","0.00","Ksh","Cash","27.11.2022 10:03","19.00","Finished"
"27.11.2022 09:06","Hill View 14 Down Street 16, Nairobi","190.00","8.06","0.00","0.00","0.00","Ksh","Cash","27.11.2022 09:22","2.00","Finished"
"26.11.2022 20:06","Moi Drive, Nairobi","310.00","13.47","0.00","0.00","0.00","Ksh","Cash","26.11.2022 20:31","5.00","Finished"
"26.11.2022 19:37","Manyanja Road, Nairobi","190.00","8.12","0.00","0.00","0.00","Ksh","Cash","26.11.2022 19:50","2.00","Finished"
"26.11.2022 17:56","GPO, Kenyatta Avenue, Nairobi","650.00","27.72","0.00","0.00","0.00","Ksh","Cash","26.11.2022 18:41","13.00","Finished"
"26.11.2022 17:40","City Square, Nairobi","280.00","11.83","0.00","0.00","0.00","Ksh","Cash","26.11.2022 17:54","3.00","Finished"
"26.11.2022 17:09","Kangemi, Nairobi","570.00","24.39","0.00","0.00","0.00","Ksh","Cash","26.11.2022 17:39","13.00","Finished"
"26.11.2022 15:32","Agoi Road, Nairobi","620.00","26.42","0.00","0.00","0.00","Ksh","Cash","26.11.2022 16:13","12.00","Finished"
"26.11.2022 14:07","Zanzibar Road, Nairobi","520.00","22.33","0.00","0.00","0.00","Ksh","Cash","26.11.2022 14:40","8.00","Finished"
"26.11.2022 13:24","Dolphin Court, Nairobi","600.00","25.62","0.00","0.00","0.00","Ksh","Cash","26.11.2022 14:09","12.00","Finished"
"26.11.2022 13:10","Moi Drive, Nairobi","240.00","10.31","0.00","0.00","0.00","Ksh","Cash","26.11.2022 13:28","5.00","Finished"
"26.11.2022 12:45","Donholm, Nairobi","560.00","24.06","0.00","0.00","0.00","Ksh","Cash","26.11.2022 13:10","6.00","Finished"
"26.11.2022 12:06","Hill View 14 Down Street 14, Nairobi","500.00","21.26","0.00","0.00","0.00","Ksh","Cash","26.11.2022 12:35","11.00","Finished"
"25.11.2022 23:54","Kindaruma Road 1, Nairobi","570.00","24.30","0.00","0.00","0.00","Ksh","Cash","26.11.2022 00:24","13.00","Finished"
"25.11.2022 23:08","Thika Institute of Business Studies, Embu - Nairobi Highway, Thika, Kenya","1700.00","66.61","0.00","0.00","0.00","Ksh","Cash","25.11.2022 23:55","44.00","Finished"
