"Order time","Pickup address","Ride price","Booking fee","Toll fee","Cancellation fee","Tip","Currency","Payment method","Payment time","Distance","State"
"31.10.2022 16:47","Mumias South Road, Nairobi","200.00","8.45","0.00","0.00","0.00","Ksh","Cash","31.10.2022 17:01","3.00","Finished"
"31.10.2022 16:02","Minet ICDC House, Mamlaka Road, Nairobi, Kenya","560.00","23.95","0.00","0.00","0.00","Ksh","Cash","31.10.2022 16:43","15.00","Finished"
"31.10.2022 10:09","Kilimani, Nairobi","200.00","0.00","0.00","0.00","0.00","Ksh","Cash","31.10.2022 10:25","4.00","Finished"
"31.10.2022 09:03","Mai Mahiu Road, Nairobi","280.00","0.00","0.00","0.00","0.00","Ksh","Cash","31.10.2022 09:38","5.00","Finished"
"31.10.2022 07:45","Waruku Primary School, Nairobi, Kenya","510.00","0.00","0.00","0.00","0.00","Ksh","Cash","31.10.2022 08:29","13.00","Finished"
"31.10.2022 07:07","Madaraka Shopping Center, Ole Sangale Road, Nairobi","490.00","0.00","0.00","0.00","0.00","Ksh","Cash","31.10.2022 07:40","10.00","Finished"
"31.10.2022 06:16","Nairobi, Kenya","640.00","0.00","0.00","0.00","0.00","Ksh","Cash","31.10.2022 07:05","14.00","Finished"
"31.10.2022 00:43","Cocorico Bar and Restaurant, Mirema 1st Avenue, Nairobi","330.00","0.00","0.00","0.00","0.00","Ksh","Cash","31.10.2022 01:00","6.00","Finished"
"31.10.2022 00:06","Mutarawka Road, Nairobi","480.00","0.00","0.00","0.00","0.00","Ksh","Cash","31.10.2022 00:31","12.00","Finished"
"30.10.2022 23:45","Outer Ring Road, Nairobi","310.00","0.00","0.00","0.00","0.00","Ksh","Cash","31.10.2022 00:00","7.00","Finished"
"30.10.2022 22:55","Moi Avenue, Nairobi","420.00","0.00","0.00","0.00","0.00","Ksh","Cash","30.10.2022 23:13","10.00","Finished"
"30.10.2022 22:26","Eighth Street, Nairobi","210.00","0.00","0.00","0.00","0.00","Ksh","Cash","30.10.2022 22:40","4.00","Finished"
"30.10.2022 21:49","Astoria Apartments, Mbaazi Avenue, Nairobi","540.00","0.00","0.00","0.00","0.00","Ksh","Cash","30.10.2022 22:24","14.00","Finished"
"30.10.2022 18:38","Nairobi South, Nairobi","800.00","0.00","0.00","0.00","0.00","Ksh","Cash","30.10.2022 19:12","22.00","Finished"
"30.10.2022 17:51","Madura Lane, Nairobi","410.00","0.00","0.00","0.00","0.00","Ksh","Cash","30.10.2022 18:17","7.00","Finished"
"30.10.2022 17:03","Wood Avenue Commodore Office Suites, Wood Ave, Nairobi","420.00","0.00","0.00","0.00","0.00","Ksh","Cash","30.10.2022 17:34","9.00","Finished"
"30.10.2022 16:27","Main Parking, The Junction Mall","260.00","0.00","50.00","0.00","0.00","Ksh","Cash","30.10.2022 16:49","4.00","Finished"
