"Order time","Pickup address","Ride price","Booking fee","Toll fee","Cancellation fee","Tip","Currency","Payment method","Payment time","Distance","State"
"30.09.2022 13:16","Golden Spot, Nairobi","370.00","11.39","0.00","0.00","0.00","Ksh","Cash","30.09.2022 13:54","6.00","Finished"
"30.09.2022 09:59","Gospel Revival Wave Church, Nairobi, Kenya","240.00","7.36","0.00","0.00","0.00","Ksh","Cash","30.09.2022 10:22","4.00","Finished"
"30.09.2022 09:21","Kasarani Constituency, Nairobi","190.00","5.76","0.00","0.00","0.00","Ksh","Cash","30.09.2022 09:40","1.00","Finished"
"25.09.2022 19:51","Kenyatta Avenue Jumuai Coffee House located Inside All Saints Cathderal Compound, Kenyatta Ave, Nairobi, Nairobi","290.00","8.84","0.00","0.00","0.00","Ksh","Cash","25.09.2022 20:10","5.00","Finished"
"25.09.2022 18:57","Frezie Electricals Ltd, Githurai, Kenya","850.00","25.47","0.00","0.00","0.00","Ksh","Cash","25.09.2022 19:41","20.00","Finished"
"25.09.2022 18:26","Boon Apartment, TRM Drive, Nairobi","250.00","7.88","0.00","0.00","0.00","Ksh","Cash","25.09.2022 18:57","4.00","Finished"
"25.09.2022 17:42","Umoja, Nairobi","480.00","14.73","0.00","0.00","0.00","Ksh","Cash","25.09.2022 18:14","10.00","Finished"
"25.09.2022 16:32","RXM4+RRF, A2, Ruiru, Kenya","760.00","22.86","0.00","0.00","0.00","Ksh","Cash","25.09.2022 17:16","21.00","Finished"
"25.09.2022 15:34","Plaza Road, Nairobi","540.00","16.83","0.00","0.00","0.00","Ksh","Cash","25.09.2022 15:59","13.00","Finished"
"25.09.2022 13:06","Parklands Road 05, Nairobi","330.00","10.13","0.00","0.00","0.00","Ksh","Cash","25.09.2022 13:26","8.00","Finished"
"25.09.2022 10:11","Mihango, Nairobi","700.00","21.77","0.00","0.00","0.00","Ksh","Cash","25.09.2022 11:12","15.00","Finished"
"25.09.2022 08:55","Kasarani Mwiki Road, Nairobi","420.00","13.06","0.00","0.00","0.00","Ksh","Cash","25.09.2022 09:28","9.00","Finished"
"25.09.2022 02:25","Mirema Drive, Nairobi","190.00","5.76","0.00","0.00","0.00","Ksh","Cash","25.09.2022 02:37","3.00","Finished"
"24.09.2022 23:52","Serenity Road 5, Nairobi","620.00","19.11","0.00","0.00","0.00","Ksh","Cash","25.09.2022 00:23","14.00","Finished"
"24.09.2022 22:59","Sabasaba Lane, Nairobi","960.00","28.53","0.00","0.00","0.00","Ksh","Cash","24.09.2022 23:52","22.00","Finished"
"24.09.2022 22:02","Simba Street, Nairobi","240.00","7.34","0.00","0.00","0.00","Ksh","Cash","24.09.2022 22:12","4.00","Finished"
"24.09.2022 21:33","Tevody Heights Apartments, Hatheru Road, Nairobi, Kenya","460.00","14.34","0.00","0.00","0.00","Ksh","Cash","24.09.2022 22:01","10.00","Finished"
"24.09.2022 20:52","For You Chinese Restaurant, Nairobi","220.00","6.70","0.00","0.00","0.00","Ksh","Cash","24.09.2022 21:05","4.00","Finished"
"24.09.2022 20:20","Marula Court, Nairobi","190.00","5.76","0.00","0.00","0.00","Ksh","Cash","24.09.2022 20:39","3.00","Finished"
"24.09.2022 19:37","City Hall Annexe, Cardinal Otunga Street, Nairobi","370.00","11.54","0.00","0.00","0.00","Ksh","Cash","24.09.2022 20:14","6.00","Finished"
"24.09.2022 18:30","Kenya National Archives, Tom Mboya Street, Nairobi","410.00","12.72","0.00","0.00","0.00","Ksh","Cash","24.09.2022 19:22","7.00","Finished"
"24.09.2022 17:43","Drive Way","740.00","22.74","0.00","0.00","0.00","Ksh","Cash","24.09.2022 18:28","16.00","Finished"
"24.09.2022 16:45","Ring Road, Nairobi","750.00","23.01","0.00","0.00","0.00","Ksh","Cash","24.09.2022 17:36","16.00","Finished"
"24.09.2022 15:46","Maziwa, Nairobi","650.00","20.10","0.00","0.00","0.00","Ksh","Cash","24.09.2022 16:33","14.00","Finished"
"24.09.2022 14:48","Moi Avenue Moi Avenue, Nairobi","470.00","14.58","0.00","0.00","0.00","Ksh",Bolt Payment,"24.09.2022 15:22","1.00","Finished"
"24.09.2022 14:25","International University Pathways College (IUPC), Nairobi, Kenya","330.00","10.32","0.00","0.00","0.00","Ksh","Cash","24.09.2022 14:48","8.00","Finished"
"24.09.2022 13:49","EN Flats, Ngong Road, Nairobi, Kenya","380.00","11.91","0.00","0.00","0.00","Ksh","Cash","24.09.2022 14:22","9.00","Finished"
"24.09.2022 12:21","Golf Course, Nairobi","670.00","20.60","0.00","0.00","0.00","Ksh","Cash","24.09.2022 13:07","15.00","Finished"
"24.09.2022 12:02","Wabera Street, Nairobi","220.00","6.84","0.00","0.00","0.00","Ksh","Cash","24.09.2022 12:19","4.00","Finished"
"24.09.2022 11:10","Sunrise Park Estate - Imara Daima, Quinine Lane, Nairobi, Kenya","600.00","18.58","0.00","0.00","0.00","Ksh","Cash","24.09.2022 11:49","16.00","Finished"
"24.09.2022 10:08","Embakasi, Nairobi","330.00","10.12","0.00","0.00","0.00","Ksh","Cash","24.09.2022 10:34","6.00","Finished"
"24.09.2022 09:57","Home Matt, Embakasi, Nairobi","190.00","5.76","0.00","0.00","0.00","Ksh","Cash","24.09.2022 10:07","1.00","Finished"
"24.09.2022 08:57","Kasarani Constituency, Nairobi","760.00","23.15","0.00","0.00","0.00","Ksh","Cash","24.09.2022 09:46","20.00","Finished"
